CP_Weight(kg),KS_Avail(m/s),KS_Req(m/s),KS_Pass,DSPS_Avail(m/s),DSPS_Req(m/s),DSPS_Pass,Mission_Success
356.0,3701.81,3483.83,PASS,574.55,3619.25,FAIL,FAIL
357.0,3699.74,3483.83,PASS,573.58,3619.25,FAIL,FAIL
358.0,3697.67,3483.83,PASS,572.61,3619.25,FAIL,FAIL
359.0,3695.61,3483.83,PASS,571.65,3619.25,FAIL,FAIL
360.0,3693.54,3483.83,PASS,570.69,3619.25,FAIL,FAIL
361.0,3691.48,3483.83,PASS,569.74,3619.25,FAIL,FAIL
362.0,3689.42,3483.83,PASS,568.78,3619.25,FAIL,FAIL
363.0,3687.36,3483.83,PASS,567.83,3619.25,FAIL,FAIL
364.0,3685.31,3483.83,PASS,566.89,3619.25,FAIL,FAIL
365.0,3683.26,3483.83,PASS,565.95,3619.25,FAIL,FAIL
366.0,3681.21,3483.83,PASS,565.01,3619.25,FAIL,FAIL
367.0,3679.16,3483.83,PASS,564.07,3619.25,FAIL,FAIL
368.0,3677.11,3483.83,PASS,563.13,3619.25,FAIL,FAIL
